X,Y,Z,XDelta,YDelta,HeadingDelta,GammaDelta
-780.405283964518,-973.695711524892,43.9020847655915,-1000,-1000,20.3490658503989,9.4764012244017
-790.38686196613,-974.891361001033,44.4215115144787,-1000,-1000,20.3490658503989,9.4764012244017
-800.368439967743,-976.087010477174,44.9409382633659,-1000,-1000,20.3490658503989,9.4764012244017
-810.350017969356,-977.282659953315,45.4603650122531,-1000,-1000,20.3490658503989,9.4764012244017
-820.331595970969,-978.478309429457,45.9797917611402,-1000,-1000,20.3490658503989,9.4764012244017
-830.313173972582,-979.673958905598,46.4992185100274,-1000,-1000,20.3490658503989,9.4764012244017
-840.294751974195,-980.869608381739,47.0186452589146,-1000,-1000,20.3490658503989,9.4764012244017
-850.276329975808,-982.065257857881,47.5380720078018,-1000,-1000,20.3490658503989,9.4764012244017
-860.25790797742,-983.260907334022,48.0574987566889,-1000,-1000,20.3490658503989,9.4764012244017
-870.239485979033,-984.456556810163,48.5769255055761,-1000,-1000,20.3490658503989,9.4764012244017
-880.221063980646,-985.652206286304,49.0963522544633,-1000,-1000,20.3490658503989,9.4764012244017
-890.202641982259,-986.847855762446,49.6157790033505,-1000,-1000,20.3490658503989,9.4764012244017
-900.184219983872,-988.043505238587,50.1352057522376,-1000,-1000,20.3490658503989,9.4764012244017
-910.165797985485,-989.239154714728,50.6546325011248,-1000,-1000,20.3490658503989,9.4764012244017
-920.147375987097,-990.43480419087,51.174059250012,-1000,-1000,20.3490658503989,9.4764012244017
-930.12895398871,-991.630453667011,51.6934859988992,-1000,-1000,20.3490658503989,9.4764012244017
-940.110531990323,-992.826103143152,52.2129127477863,-1000,-1000,20.3490658503989,9.4764012244017
-950.092109991936,-994.021752619293,52.7323394966735,-1000,-1000,20.3490658503989,9.4764012244017
-960.073687993549,-995.217402095435,53.2517662455607,-1000,-1000,20.3490658503989,9.4764012244017
-970.055265995162,-996.413051571576,53.7711929944479,-1000,-1000,20.3490658503989,9.4764012244017
